id_code,area,site,year,month,T1_prop,T2_prop,T3_prop,T4_prop,moist_prop,logger_T4,T1_mean,T1_absmax,T1_absmin,T1_meanmax,T1_meanmin,T2_mean,T2_absmax,T2_absmin,T2_meanmax,T2_meanmin,T3_mean,T3_absmax,T3_absmin,T3_meanmax,T3_meanmin,T4_mean,T4_absmax,T4_absmin,T4_meanmax,T4_meanmin,moist_sd,moist_cv,moist_med,moist_mean,moist_absmax,moist_absmin,T1_99,T1_98,T1_97,T1_96,T1_95,T2_99,T2_98,T2_97,T2_96,T2_95,T3_99,T3_98,T3_97,T3_96,T3_95,T4_99,T4_98,T4_97,T4_96,T4_95
AIL101,AIL,101,2019,11,1,1,1,1,0,a,-3.25,-1.75,-6.75,-2.9,-3.59,-7.47,-1.81,-17.5,-5.73,-9.28,-11.59,-1.36,-26.23,-8.07,-15.47,-11.1,0.9,-25.6,-7.75,-14.72,,,,,,,-1.87,-1.87,-1.87,-1.93,-2,-2,-2.19,-2.31,-2.44,-2.5,-1.86,-2.05,-2.17,-2.36,-2.72700000000002,0.741000000000003,-1,-1.354,-1.5,-1.8
AIL101,AIL,101,2019,12,1,1,1,1,0,a,-2.41,-1.62,-4.12,-2.26,-2.56,-3.75,-1.44,-8.31,-3.28,-4.27,-5.88,-0.8,-16.61,-4.68,-7.2,-8.7,2.4,-26.7,-5.16,-13.05,,,,,,,-1.62,-1.75,-1.75,-1.81,-1.87,-1.545,-1.69,-2.075,-2.31,-2.38,-0.98,-1.545,-2.67,-2.73,-2.845,1.7,1.23199999999999,0.7,0.5,0.1
AIL101,AIL,101,2020,1,1,1,1,1,0,a,-2.04,-1.62,-2.68,-1.99,-2.09,-2.92,-1.75,-4.25,-2.76,-3.08,-4.28,-1.86,-6.86,-3.93,-4.62,-9.38,1.5,-28.9,-5.85,-13.38,,,,,,,-1.62,-1.62,-1.62,-1.62,-1.62,-1.81,-1.88,-2,-2,-2,-1.98,-2.23,-2.48,-2.48,-2.61,0.829000000000002,0.657999999999998,0.3,-0.824000000000035,-1.2
AIL101,AIL,101,2020,2,1,1,1,0.0344827586206897,0,a,-2,-1.75,-2.56,-1.97,-2.02,-2.54,-2.12,-3.5,-2.48,-2.6,-3.35,-2.73,-4.86,-3.26,-3.44,,,,,,,,,,,,-1.75,-1.75,-1.75,-1.75,-1.75,-2.12,-2.12,-2.12,-2.12,-2.12,-2.73,-2.73,-2.73,-2.73,-2.73,,,,,
AIL101,AIL,101,2020,3,1,1,1,0,0,,-1.89,-1.5,-2.25,-1.87,-1.92,-2.31,-1.62,-3,-2.25,-2.35,-3,-1.92,-4.05,-2.92,-3.08,,,,,,,,,,,,-1.5,-1.5,-1.5,-1.5,-1.5,-1.62,-1.62,-1.62,-1.62,-1.62,-1.92,-1.98,-1.98,-1.98,-1.98,,,,,
AIL101,AIL,101,2020,4,1,1,1,0.266666666666667,0,a,-1.47,-1,-1.87,-1.45,-1.5,-1.63,-0.75,-2.38,-1.58,-1.69,-2.06,-0.73,-3.11,-1.98,-2.15,,,,,,,,,,,,-1,-1,-1,-1,-1,-0.797399999999998,-0.81,-0.81,-0.88,-0.88,-0.73,-0.86,-0.86,-0.86,-0.86,,,,,
AIL101,AIL,101,2020,5,1,1,1,1,0,a,-0.7,-0.25,-1.12,-0.68,-0.72,-0.42,7.31,-1.25,-0.22,-0.57,-0.34,11.39,-1.73,0.09,-0.71,2.16,20,-12.2,8.02,-3.5,,,,,,,-0.31,-0.31,-0.31,-0.31,-0.37,4.7825,1.345,0.38,0.12,0,9.035,4.83,2.7,1.39,0.9675,17.629,15.606,14.674,13.716,12.88
AIL101,AIL,101,2020,6,1,1,1,1,0.966666666666667,a,5.59,11.25,-0.31,7.22,4.7,9.95,25.38,-0.5,16.75,3.43,11.15,27.64,-1.61,18.73,2.91,11.51,27.5,0,17.96,4.1,5.92,0.35,16.9,16.9,26.8,7.9,10.75,10.5,10.32,10.13,9.88,23,22.4052,21.75,21.0504,20.506,25.6526,25.02,24.52,23.77,23.02,25.782,25.182,24.523,23.892,22.92
AIL101,AIL,101,2020,7,1,1,1,1,1,a,8.47,12.88,3.75,9.48,7.67,10.37,20.5,0.5,15.08,6.07,11.16,25.64,-0.73,17.58,5.36,11.61,25.4,0.3,17.04,6.48,2.75,0.11,24,24.2,33.6,15.3,12.645,12.5,12.25,12.13,11.94,19.12,18.62,18.31,18,17.75,23.405,22.17,21.64,21.14,20.77,24.429,23.3,22.5,22.116,21.5
AIL101,AIL,101,2020,8,1,1,1,1,1,b,8.94,13.13,3.38,10.03,8.05,9.42,23.31,-3.62,15.48,4.17,9.92,29.64,-4.23,17.41,3.53,10.77,28.2,-3.07,16.89,5.2,2.94,0.16,17,17.8,29.6,-1.4,12.38,12.13,12,11.88,11.75,19.5,18.5,17.75,17.19,16.75,23.89,21.61,20.52,19.89,19.02,25.074,22.508,21.206,20.836,20.5
AIL101,AIL,101,2020,9,1,1,1,1,1,o,4.78,9.5,0.75,5.6,4.08,4.59,17.56,-6.75,8.95,0.88,4.97,19.02,-7.98,10.05,0.7,5.87,18.77,-6.29,10.17,2.16,1.33,0.08,17.6,17.4,26.2,14.3,9,8.63,8.44,8.38,8.25,14.4052,13.2152,12.4178,12,11.503,15.7,14.14,13.14,12.39,12.02,16.50463,15.14752,14.54867,13.70056,12.76645
AIL101,AIL,101,2020,10,1,1,1,1,0.580645161290323,o,2.17,6.07,-0.37,2.44,1.91,0.75,11.5,-8.88,2.47,-1.03,-0.2,14.45,-12.17,2.08,-2.66,-0.17,13.06,-14.7,2.16,-2.48,1.06,0.06,17.5,17.6,21.2,16,5.94,5.88,5.75,5.75,5.63,9,8.38,8.12,7.75,7.56,9.095,8.55,8.33,8.02,7.89,9.40841,9.13836,8.93082,8.61276,8.31735
AIL102,AIL,102,2019,11,1,1,1,1,0,a,-4.46,-2.7,-8.33,-4.02,-4.89,-7.83,-2.32,-17.38,-6.18,-9.52,-11.4,-1,-25.12,-7.53,-15.74,-10.87,0.9,-23,-7.53,-14.4,,,,,,,-2.7,-2.7,-2.77,-2.83,-2.83,-2.51,-2.63,-2.76,-2.88,-3.01,-1.25,-1.5,-1.83589999999999,-1.94,-2.12,-0.261999999999955,-1.318,-1.477,-1.8,-1.9
AIL102,AIL,102,2019,12,1,1,1,1,0,a,-3.02,-2.39,-4.27,-2.89,-3.15,-4.03,-2.26,-6.94,-3.65,-4.43,-5.99,-1.62,-13.06,-4.92,-7.18,-8.69,2.1,-24.7,-5.05,-12.9,,,,,,,-2.45,-2.45,-2.58,-2.58,-2.58,-2.38,-2.6,-2.88,-2.88,-2.94,-2,-2.41,-3.25,-3.31,-3.38,1.41600000000001,0.8,0.587000000000001,0.4,0.0449999999999989
AIL102,AIL,102,2020,1,1,1,1,1,0,a,-2.3,-2.02,-2.64,-2.25,-2.35,-3.06,-2.38,-3.82,-2.93,-3.19,-4.4,-2.5,-6,-4.09,-4.71,-9.6,1.4,-28.2,-6.04,-13.76,,,,,,,-2.02,-2.02,-2.02,-2.02,-2.02,-2.425,-2.44,-2.51,-2.51,-2.51,-2.6725,-2.88,-3.12,-3.25,-3.25,0.729000000000002,0.157999999999998,-1.113,-1.384,-1.6
AIL102,AIL,102,2020,2,1,1,1,1,0,a,-2.45,-2.2,-2.64,-2.42,-2.48,-3.27,-2.69,-3.76,-3.19,-3.35,-4.64,-3.5,-5.75,-4.47,-4.82,-10.21,0.9,-22.8,-5.21,-15.54,,,,,,,-2.2,-2.2,-2.2,-2.2,-2.2,-2.69,-2.76,-2.76,-2.76,-2.76,-3.5,-3.56,-3.62,-3.62,-3.75,0.5,0.2,-1.541,-2,-2.2
AIL102,AIL,102,2020,3,1,1,1,1,0,a,-2.19,-1.64,-2.7,-2.15,-2.22,-2.7,-1.76,-3.63,-2.62,-2.79,-3.59,-2,-5.25,-3.44,-3.79,-6.91,7,-26.6,-1.1,-12.98,,,,,,,-1.7,-1.7,-1.7,-1.7,-1.7,-1.76,-1.76,-1.82,-1.82,-1.82,-2,-2.09,-2.12,-2.12,-2.12,5.329,3.774,3.1,2.64799999999999,1.59
AIL102,AIL,102,2020,4,1,1,1,1,0,a,-1.43,-0.83,-2.08,-1.41,-1.47,-1.59,-0.51,-2.76,-1.51,-1.69,-2,-0.25,-3.94,-1.8,-2.23,-3.07,10.7,-22.7,3.88,-9.77,,,,,,,-0.83,-0.83,-0.83,-0.83,-0.83,-0.57,-0.57,-0.592199999999993,-0.63,-0.63,-0.25,-0.38,-0.38,-0.44,-0.5,8.70500000000001,7.464,7.046,6.864,6.505
AIL102,AIL,102,2020,5,1,1,1,1,0,a,-0.54,-0.27,-1.08,-0.51,-0.56,-0.14,7.99,-1.38,0.12,-0.36,0.24,11.88,-2.12,1.08,-0.42,2.88,21.1,-16.2,9.98,-4.17,,,,,,,-0.33,-0.33,-0.33,-0.33,-0.33,5.605,2.74,2.0425,1.12,0.445,9.205,7.38,5.75,3.88,3,16.774,16.058,15.287,15,13.4
AIL102,AIL,102,2020,6,1,1,1,1,0.966666666666667,a,6.33,14.61,-0.33,8.8,4.3,11.62,33.62,-1.88,22.56,2.47,11.2,29,-2.5,19.35,2.42,11.11,27.8,0,18.24,3.61,4.98,0.18,29.1,28.2,37.1,18.6,13.8,13.3252,12.92,12.6604,12.3,31.9225,29.8952,28.6956,27.37,25.87,27.12,26.1494,25.38,24.75,24.12,26.482,25.938,24.746,24.1,23.71
AIL102,AIL,102,2020,7,1,1,1,1,1,a,9.34,14.92,4.3,10.85,8.02,11.07,30.62,0.12,18.68,5.81,11.01,28.5,-0.56,17.81,5.4,11.13,25.7,0.3,16.58,6.31,2.07,0.07,29.7,30,36.9,22,14.125,13.55,13.3,13.05,12.92,23.87,22.74,21.5425,20.87,20.37,22.265,21.38,20.88,20.38,19.88,23.387,22.158,21.087,20.516,19.945
AIL102,AIL,102,2020,8,1,1,1,1,1,b,9.9,14.98,4.42,11.35,8.61,10.3,30.12,-2.63,18.3,4.38,9.9,28,-3.94,17.09,3.61,10.3,28.7,-2.68,15.88,5.05,1.59,0.06,27.2,27.3,36.7,23.8,14.3,13.8,13.55,13.42,13.17,25.445,23.65,21.99,20.87,20.195,24.2825,22.155,20.7175,19.81,19.12,23.376,22.2,20.504,19.48,18.8064
AIL102,AIL,102,2020,9,1,1,1,1,1,o,5.38,10.48,1.3,6.22,4.63,4.86,19.99,-4.88,10.01,1.23,4.86,19,-7.38,10.05,0.48,5.56,17.35,-5.64,9.33,2.2,1.43,0.05,28.6,28.8,32.8,25.9,9.8726,9.3,9.17,8.98,8.92,14.8226,13.8352,12.9678,12.2304,11.62,15.2773,13.75,12.7278,12.1788,11.753,15.34837,14.40222,13.542,12.11292,11.8633
AIL102,AIL,102,2020,10,1,1,1,1,0.580645161290323,o,2.14,5.92,-1.2,2.39,1.92,0.38,9.99,-8.01,2.08,-1.32,-1.14,12.88,-15.62,1.94,-4.05,-0.48,10.62,-14.35,1.84,-2.77,0.64,0.02,28.2,28.2,30.5,27.4,5.92,5.86,5.8,5.8,5.67,8.0225,7.62,7.43,7.37,7.18,8.5,8.12,7.88,7.75,7.56,8.86288,8.4657,8.20741,8.00488,7.998
AIL103,AIL,103,2019,11,1,1,1,0,0,,-2.82,-1.82,-5.2,-2.63,-3.02,-4.72,-2.12,-9.5,-4.07,-5.35,-9.57,-2.12,-21.43,-7.37,-11.71,,,,,,,,,,,,-1.89,-1.95,-1.95,-1.95,-1.95,-2.25,-2.31,-2.38,-2.44,-2.5,-2.43,-2.56,-2.68,-2.93,-3.18,,,,,
