id_code,area,site,y,x,logger,altitude,chm,pgaps2m,pgaps5m,pzabove2,zmean,zq95,zskew,canopy_cover2m_5m,canopy_cover2m_10m,canopy_cover2m_20m,canopy_cover2m_30m,canopy_cover2m_50m,canopy_cover5m_5m,canopy_cover5m_10m,canopy_cover5m_20m,canopy_cover5m_30m,canopy_cover5m_50m,canopy_cover10m_5m,canopy_cover10m_10m,canopy_cover10m_20m,canopy_cover10m_30m,canopy_cover10m_50m,chm_metsakeskus_5,chm_metsakeskus_10,chm_metsakeskus_20,chm_metsakeskus_30,chm_metsakeskus_50,pgaps2m_metsakeskus_10,pgaps2m_metsakeskus_20,pgaps5m_metsakeskus_10,pgaps5m_metsakeskus_20,pisr_m1_2m,pisr_m1_10m,pisr_m1_30m,pisr_m1_50m,pisr_m2_2m,pisr_m2_10m,pisr_m2_30m,pisr_m2_50m,pisr_m3_2m,pisr_m3_10m,pisr_m3_30m,pisr_m3_50m,pisr_m4_2m,pisr_m4_10m,pisr_m4_30m,pisr_m4_50m,pisr_m5_2m,pisr_m5_10m,pisr_m5_30m,pisr_m5_50m,pisr_m6_2m,pisr_m6_10m,pisr_m6_30m,pisr_m6_50m,pisr_m7_2m,pisr_m7_10m,pisr_m7_30m,pisr_m7_50m,pisr_m8_2m,pisr_m8_10m,pisr_m8_30m,pisr_m8_50m,pisr_m9_2m,pisr_m9_10m,pisr_m9_30m,pisr_m9_50m,pisr_m10_2m,pisr_m10_10m,pisr_m10_30m,pisr_m10_50m,pisr_m11_2m,pisr_m11_10m,pisr_m11_30m,pisr_m11_50m,pisr_m12_2m,pisr_m12_10m,pisr_m12_30m,pisr_m12_50m,pisr_annual_2m,pisr_summer_2m,pisr_annual_10m,pisr_summer_10m,pisr_annual_30m,pisr_summer_30m,pisr_annual_50m,pisr_summer_50m,slope,swi,twi,tpi10,tpi20,tpi30,tpi50,tpi100,tpi200,tpi500,wind_effect,canopy_cover_conif,canopy_cover_decid,canopy_cover,canopy_portion_conif,canopy_portion_decid,forest_age,forest_class,forest_height,forest_volume,habitat_type,wetland,allwet_prop_100m,allwet_prop_10m,allwet_prop_25m,allwet_prop_500m,costdist2river,costdist2water,costdist2wet,dist2anywater,dist2edge_large,dist2edge_medium,dist2edge_small,dist2forest_large,dist2forest_medium,dist2forest_small,dist2lakes,dist2lakes_large,dist2rivers,dist2waters,dist2wetlands,fluvial_effect,forest_prop_100m,forest_prop_10m,forest_prop_25m,forest_prop_500m,water_effect,water_prop_100m,water_prop_10m,water_prop_25m,water_prop_500m,wet_effect,wetland_prop_100m,wetland_prop_10m,wetland_prop_25m,wetland_prop_500m,tcd,waw,dlt,corine
HYY055,HYY,55,61.8327676756,24.1995136504,Tomst,16586,4,100,100,0,3,14,226,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,5,5,5,5,5,100,100,100,100,743,729,729,730,2996,2911,2913,2917,8639,8455,8459,8467,16317,16099,16105,16115,23516,23329,23334,23343,27019,26865,26869,26876,25380,25212,25216,25225,19376,19169,19175,19185,11841,11636,11642,11651,5001,4871,4875,4881,1359,1324,1325,1327,405,401,401,401,142592,71775,141002,71247,141044,71260,141116,71285,0.017,17.29,12.07,0,0,0,-0.09,-0.09,-0.06,-0.41,0.99,0,0,0,0,0,0,3,0,0,3,3,100,100,100,58,29,29,0,108,0,0,0,304,164,107,1160,1899,108,1160,0,71,0,0,0,25,71,0,0,0,0,100,100,100,100,58,0,4,0,36
HYY038,HYY,38,61.8336549924,24.2031609447,Tomst,16528,53,88,96,6,32,169,396,88,58,51,48,42,10,11,10,10,11,1,2,4,8,19,383,265,211,207,206,37,46,84,92,719,727,727,728,2848,2901,2901,2905,8321,8434,8434,8442,15942,16075,16075,16084,23194,23309,23309,23316,26754,26849,26848,26854,25090,25194,25194,25201,19018,19146,19147,19156,11485,11613,11614,11622,4776,4856,4857,4862,1299,1320,1320,1322,398,400,401,401,139843,70862,140826,71189,140828,71189,140891,71210,0.014,16.76,8.98,-0.03,-0.03,-0.02,0.04,0.06,0.11,-0.33,0.99,3,1,4,75,25,13,3,6,1,6,4,100,100,100,48,42,42,0,138,0,0,0,105,83,64,1241,1980,138,1241,0,58,2,0,2,31,58,0,0,0,0,100,100,100,100,48,0,4,0,36
HYY027,HYY,27,61.833896089,24.2059604891,Tomst,16473,7,85,96,9,45,214,370,59,74,70,74,77,48,49,51,55,60,40,40,40,40,40,237,315,400,442,485,26,30,80,66,732,736,727,727,2929,2951,2897,2902,8494,8540,8425,8436,16146,16200,16062,16076,23369,23415,23294,23306,26898,26935,26833,26844,25249,25290,25180,25191,19217,19266,19135,19147,11684,11732,11604,11616,4901,4932,4852,4859,1332,1341,1319,1320,402,403,400,400,141353,71364,141740,71491,140728,71148,140826,71181,0.017,17.09,10.42,-0.04,-0.01,0.02,0.08,0.1,0.08,-0.49,0.99,14,0,14,100,0,48,2,54,23,5,4,100,100,100,46,9,9,0,15,0,0,0,55,14,14,1278,2010,15,1278,0,91,35,0,21,41,91,0,0,0,0,100,100,100,100,46,8,4,0,24
HYY013,HYY,13,61.8077006354,24.2070983987,Tomst,17036,705,21,32,32,304,1145,98,85,85,79,81,91,88,89,89,86,80,70,70,70,70,68,1011,913,841,769,825,13,22,21,30,599,597,597,662,1493,1488,1663,2484,6799,5703,5754,7514,15834,15156,12656,14834,23036,22488,19901,21968,26565,26069,23661,25516,24915,24399,21913,23859,18889,18297,15694,17856,11397,9981,8554,10544,1958,1992,2936,4217,916,912,917,1145,363,362,362,380,132766,70370,127444,68765,114608,61268,130979,67231,0.021,20.02,16.83,-0.22,-1.41,-2.06,-1.78,-1.09,-2.01,-1.9,0.94,29.7310382266799,0.653792354664019,30.3848305813439,98.0386229360079,1.96137706399206,79.8469070347037,1,163.653792354664,108.387628138815,4,4,55,100,79,61,26,22,0,54,95,55,5,0,0,0,55,55,60,55,0,74,81,71,67,45,78,9,0,0,54,100,46,100,79,7,49,0,2,25
HYY047,HYY,47,61.8071654378,24.2099177685,Tomst,17186,1179,1,10,46,464,1688,105,100,100,100,99,97,97,97,97,94,87,80,78,76,73,69,1841,1843,1759,1676,1642,0,0,0,0,692,710,730,692,2706,3010,3152,2826,8183,8800,9052,8240,15716,16451,16695,15685,22889,23506,23599,22724,26462,26890,26886,26161,24747,25307,25338,24556,18826,19458,19621,18677,11325,12017,12260,11341,4672,5092,5282,4744,1248,1351,1392,1262,372,371,388,383,137838,70035,142962,71655,144395,71845,137292,69394,0.039,12.28,10.95,-0.09,-0.65,-1.35,-1.97,-2.65,-2.7,-1.63,0.94,21.6901571208356,29.4647643187465,51.1549214395822,42.3028535218802,57.6971464781198,53.8450785604178,1,173.337800308301,222.26033958851,3,4,27,52,37,50,11,11,0,7,86,58,47,0,0,0,74,74,7,74,0,89,92,100,99,55,89,6,0,0,42,100,21,52,37,8,78,0,2,25
HYY033,HYY,33,61.8024639585,24.199377868,Tomst,17937,1713,0,0,72,1004,2090,-12,100,100,100,99,96,94,93,91,90,89,85,85,86,85,80,1925,2073,2083,2036,1986,0,0,0,1,797,847,893,779,3338,3649,3957,3220,9363,10005,10583,8928,17144,17844,18356,16451,24182,24704,24896,23327,27515,27886,27856,26620,25951,26387,26446,25069,20131,20775,21140,19364,12627,13333,13893,12072,5511,5983,6427,5265,1499,1627,1751,1459,420,432,442,409,148478,73597,153473,75048,156640,75442,142964,71053,0.102,5.9,9.45,0.3,0.98,1.72,3.04,4.49,4.75,4.03,1.09,30,0,30,100,0,86,1,222,216,4,0,30,0,0,42,253,247,225,46,140,50,50,0,0,0,47,130,225,47,29,0,91,100,100,64,0,8,0,0,29,0,23,0,0,13,81,0,2,24
HYY043,HYY,43,61.8037723091,24.1983889506,Tomst,17226,1397,8,15,52,549,1543,56,100,98,78,65,59,58,58,59,61,63,60,60,60,57,52,1558,1497,1202,1159,1131,5,18,8,21,593,604,658,683,1480,1524,2263,2674,2610,3972,6936,7946,8516,10564,14194,15442,15930,18030,21460,22649,20062,22063,25146,26212,18160,20198,23424,24548,11586,13668,17258,18496,4797,6591,9907,11052,1940,2095,3846,4517,908,925,1089,1218,360,366,382,386,86943,49809,100602,55929,126563,65828,135824,69257,0.453,9.34,6.39,-0.04,0.01,0.34,0.09,0.45,-0.34,-2.37,1,36,2,38,95,5,108,1,236,245,3,0,68,14,37,48,63,53,53,6,15,7,7,0,0,0,10,10,356,10,25,37,63,95,74,61,47,39,14,35,31,47,29,0,2,18,0,2,0,41
HYY031,HYY,31,61.8032751742,24.2021483307,Tomst,17806,980,21,32,40,399,1559,123,70,88,94,94,95,92,92,93,93,94,89,88,85,81,77,1308,1421,1585,1601,1564,16,6,22,10,599,605,606,637,1494,1508,1511,1927,3970,4270,4302,6079,9882,10592,10727,13060,17211,18003,18166,20402,21228,22015,22175,24199,19335,20145,20309,22428,12866,13639,13791,16124,6106,6634,6746,8868,2071,2167,2158,3223,917,925,927,1021,363,367,367,377,96041,53428,100870,55800,101786,56275,118344,62751,0.417,4.16,7.56,0.07,-0.03,-0.08,0.43,0.79,3.48,5.3,1.04,32.1036609325555,4.45119819473037,36.5548591272859,88.3500503356392,11.6499496643608,90.236602502684,1,230.456654156915,218.592819882433,4,0,26,0,9,45,295,290,228,108,112,80,76,0,0,0,108,108,358,108,20,0,97,100,95,61,0,0,0,0,33,0,26,0,9,12,76,0,2,24
HYY049,HYY,49,61.8021487702,24.2040454777,Tomst,17490,1304,8,18,46,516,1717,86,100,96,97,97,97,94,93,93,94,94,89,89,89,86,81,1802,1384,1408,1437,1475,3,3,4,7,710,710,716,744,2818,2823,2876,3081,8261,8273,8385,8830,15868,15879,16010,16510,23113,23122,23232,23620,26683,26687,26766,27048,25020,25008,25104,25442,18948,18947,19071,19536,11424,11429,11555,12049,4736,4740,4821,5141,1283,1285,1305,1383,389,390,390,401,139253,70652,139293,70642,140232,70942,143786,72026,0.026,12.92,7.96,0.02,0.04,-0.05,-0.73,-3.35,-2.37,0.45,0.97,30.5862940062161,5.85256162901737,36.4388556352334,84.5394542010315,15.4605457989685,90.7805721823833,1,158.097139088084,172.758882018648,5,4,23,100,77,42,192,190,0,121,127,120,18,0,0,0,124,124,293,124,0,0,94,100,94,64,0,0,0,0,31,100,23,100,77,11,59,0,2,24
HYY039,HYY,39,61.807770783,24.1421659257,Tomst,16586,791,19,29,34,271,959,96,91,88,93,93,93,86,86,86,85,83,50,50,49,49,50,1028,1064,1096,1058,1053,6,7,7,9,728,717,731,731,2907,2840,2929,2925,8447,8303,8493,8486,16089,15912,16139,16131,23319,23158,23356,23348,26856,26715,26881,26873,25201,25050,25233,25224,19155,18981,19204,19195,11623,11456,11676,11668,4862,4759,4898,4893,1322,1294,1331,1330,401,397,401,401,140911,71212,139582,70745,141272,71318,141205,71293,0.019,12.39,7.46,0.09,0.09,0.1,0.18,0.24,0.16,-2.12,0.98,28.3802985279966,0.126766175998872,28.5070647039955,99.6197014720034,0.380298527996616,68.014129407991,1,139.901492639983,94.6903485119583,5,4,100,100,100,76,6,6,0,4,245,181,25,0,0,0,811,2626,4,811,0,94,84,95,93,73,94,0,0,0,0,100,100,100,100,76,51,0,2,29
