time,tday,FMISID,tmin,tmax,rrday,snow,TG_PT12H_min,area
2019-11-01,-7.9,102017,-8.6,-6.9,NA,NA,NA,AIL
2019-11-02,-9.8,102017,-11.1,-8.6,NA,NA,NA,AIL
2019-11-03,-8.1,102017,-9.7,-6.7,NA,NA,NA,AIL
2019-11-04,-8.8,102017,-9.6,-8.2,NA,NA,NA,AIL
2019-11-05,-8.4,102017,-10.4,-7.2,NA,NA,NA,AIL
2019-11-06,-8.8,102017,-9.8,-7.1,NA,NA,NA,AIL
2019-11-07,-9.9,102017,-10.1,-9.3,NA,NA,NA,AIL
2019-11-08,-12.9,102017,-14.1,-10,NA,NA,NA,AIL
2019-11-09,-13.3,102017,-14.8,-12.1,NA,NA,NA,AIL
2019-11-10,-12.4,102017,-13.8,-11.7,NA,NA,NA,AIL
2019-11-11,-12,102017,-15.1,-10.3,NA,NA,NA,AIL
2019-11-12,-12.6,102017,-14.1,-11.8,NA,NA,NA,AIL
2019-11-13,-9.3,102017,-12.8,-8.2,NA,NA,NA,AIL
2019-11-14,-6.4,102017,-8.3,-5.9,NA,NA,NA,AIL
2019-11-15,-5.5,102017,-7.2,-4.3,NA,NA,NA,AIL
2019-11-16,-7.6,102017,-8.9,-5.3,NA,NA,NA,AIL
2019-11-17,-9.9,102017,-11.9,-7.7,NA,NA,NA,AIL
2019-11-18,-9.4,102017,-10.5,-7,NA,NA,NA,AIL
2019-11-19,-7.1,102017,-10,-4.5,NA,NA,NA,AIL
2019-11-20,-3.8,102017,-4.5,-3.1,NA,NA,NA,AIL
2019-11-21,-4.2,102017,-4.9,-3.2,NA,NA,NA,AIL
2019-11-22,-5,102017,-6.9,-2.2,NA,NA,NA,AIL
2019-11-23,-4.3,102017,-6.5,-3.3,NA,NA,NA,AIL
2019-11-24,-3.2,102017,-4.5,-2.4,NA,NA,NA,AIL
2019-11-25,-3.5,102017,-5.7,-1.6,NA,NA,NA,AIL
2019-11-26,-7.7,102017,-9.4,-4.5,NA,NA,NA,AIL
2019-11-27,-10.8,102017,-11.5,-9.1,NA,NA,NA,AIL
2019-11-28,-13.2,102017,-14,-11.5,NA,NA,NA,AIL
2019-11-29,-11.8,102017,-14.3,-10.1,NA,NA,NA,AIL
2019-11-30,-11.4,102017,-12.9,-9.3,NA,NA,NA,AIL
2019-12-01,-8.3,102017,-13.1,-6.3,NA,NA,NA,AIL
2019-12-02,-7.5,102017,-9.5,-6.3,NA,NA,NA,AIL
2019-12-03,-7.8,102017,-8.6,-7.1,NA,NA,NA,AIL
2019-12-04,-0.9,102017,-7.1,-0.1,NA,NA,NA,AIL
2019-12-05,-3.8,102017,-6.1,0,NA,NA,NA,AIL
2019-12-06,-6.5,102017,-7.5,-4.8,NA,NA,NA,AIL
2019-12-07,-10.8,102017,-11.5,-7.5,NA,NA,NA,AIL
2019-12-08,-10.6,102017,-11.6,-9.4,NA,NA,NA,AIL
2019-12-09,-13.2,102017,-14.1,-11.6,NA,NA,NA,AIL
2019-12-10,-12.7,102017,-13.7,-11.7,NA,NA,NA,AIL
2019-12-11,-10.7,102017,-15,-7.7,NA,NA,NA,AIL
2019-12-12,-6.8,102017,-9.1,-4.7,NA,NA,NA,AIL
2019-12-13,-5.9,102017,-6.6,-5.5,NA,NA,NA,AIL
2019-12-14,-6.8,102017,-8.2,-5.9,NA,NA,NA,AIL
2019-12-15,-6.1,102017,-6.4,-5.4,NA,NA,NA,AIL
