term,estimate,std.error,statistic,p.value,area,month,resp
(Intercept),-9.138797276592026,2.3358376529915015,-3.9124282738091796,1.821274877592989e-4,MAL,1,T1_mean
altitude,-0.005976592477497733,0.0011391785388958256,-5.246405434648269,1.099966226975407e-6,MAL,1,T1_mean
pisr,NA,NA,NA,NA,MAL,1,T1_mean
moist_med,0.021163517572893295,0.008854837761481367,2.3900514208125654,0.01903011339854892,MAL,1,T1_mean
snow_days,0.041788890463828436,0.009725922644470234,4.2966505072490895,4.5452813885597593e-5,MAL,1,T1_mean
tpi100,-0.024416314794593063,0.016482633148050298,-1.4813358142040083,0.14217185404518515,MAL,1,T1_mean
allwet_prop_100m,0.0076548365132983525,0.007934431016590715,0.9647618710519081,0.33736919069193705,MAL,1,T1_mean
pgaps2m_metsakeskus,-0.0027545278823635434,0.005311260959466415,-0.5186203245114643,0.6053574381102342,MAL,1,T1_mean
canopy_portion_decid,0.010145510802019002,0.004463296596824813,2.27309805251045,0.02551248150453367,MAL,1,T1_mean
forest_prop_100m,0.008568936483737029,0.005902390949814668,1.4517737907561152,0.15020293671758428,MAL,1,T1_mean
(Intercept),-4.93309469808093,2.028451355886593,-2.4319511945726586,0.01709193111512072,MAL,1,T1_absmax
altitude,-0.0047381702914483705,9.892674899134152e-4,-4.789574447516793,6.9057616728347805e-6,MAL,1,T1_absmax
pisr,NA,NA,NA,NA,MAL,1,T1_absmax
moist_med,0.01803757536079938,0.0076895787857641975,2.3457169584103283,0.021291531187513552,MAL,1,T1_absmax
snow_days,0.02276517878542863,0.008446032604259739,2.69536951277539,0.008456035426609892,MAL,1,T1_absmax
tpi100,-0.02197681032614482,0.014313588752593661,-1.5353808682090688,0.12836128817884862,MAL,1,T1_absmax
allwet_prop_100m,0.007861135139379739,0.006890293652548905,1.1408998710050178,0.2570787269473401,MAL,1,T1_absmax
pgaps2m_metsakeskus,-0.0026929742909712704,0.004612321614432154,-0.5838652453343316,0.5608392828286368,MAL,1,T1_absmax
canopy_portion_decid,0.009062500775621648,0.0038759457541744867,2.3381392182439904,0.021701037781247334,MAL,1,T1_absmax
forest_prop_100m,0.007235879680949309,0.005125661413065629,1.411696773904067,0.161647204164355,MAL,1,T1_absmax
(Intercept),-14.387496463817188,2.848024574224256,-5.05174589925582,2.4299637007368344e-6,MAL,1,T1_absmin
altitude,-0.007167544158541248,0.0013889700206900456,-5.160330353984447,1.5643501629642528e-6,MAL,1,T1_absmin
pisr,NA,NA,NA,NA,MAL,1,T1_absmin
moist_med,0.026742145111214363,0.01079646760260508,2.476934687856772,0.015209050655513048,MAL,1,T1_absmin
snow_days,0.06300305752898566,0.011858558176327234,5.312876708296304,8.365194874812196e-7,MAL,1,T1_absmin
tpi100,-0.03468535392189627,0.0200968351518141,-1.725911252188646,0.0879546214281133,MAL,1,T1_absmin
allwet_prop_100m,0.013544325044520357,0.009674240197642587,1.4000401858763885,0.1650985683002294,MAL,1,T1_absmin
pgaps2m_metsakeskus,-0.0036157552462528888,0.006475878883665415,-0.5583420121357078,0.5780616476793651,MAL,1,T1_absmin
canopy_portion_decid,0.013786586618480621,0.005441978543983513,2.5333776138685176,0.013110484364980862,MAL,1,T1_absmin
forest_prop_100m,0.012311021160761732,0.007196627920704291,1.7106652304954688,0.09074807747129247,MAL,1,T1_absmin
(Intercept),-8.563774385957531,2.28020580688931,-3.7557023844441293,3.137408172643633e-4,MAL,1,T1_meanmax
altitude,-0.005790633178519962,0.0011120471134401187,-5.207183318525627,1.291875601790237e-6,MAL,1,T1_meanmax
pisr,NA,NA,NA,NA,MAL,1,T1_meanmax
moist_med,0.020623436928521366,0.00864394512047281,2.3858824461617236,0.019233271045386243,MAL,1,T1_meanmax
