term,estimate,std.error,statistic,p.value,area,month,resp
(Intercept),-4.591046368797001,1.7978626100314832,-2.5536135760210317,0.012362899151534384,MAL,1,T1_absmax
altitude,-0.005591112222226516,9.215563220434067e-4,-6.067032571410396,3.1098120913892385e-8,MAL,1,T1_absmax
snow_days,0.026428445458464518,0.008301213562338285,3.1836845612992706,0.0020040953254182093,MAL,1,T1_absmax
tpi100,-0.0278905893319893,0.015054836381424045,-1.8525999635840025,0.0672541364277722,MAL,1,T1_absmax
canopy_cover2m_10m,0.004221043571820647,0.0027590622905127155,1.5298833905762426,0.12959228107252635,MAL,1,T1_absmax
moist_med,0.01956230599815742,0.007927347754137927,2.4676987316402594,0.015511394485764196,MAL,1,T1_absmax
(Intercept),-4.525215179424933,1.787963376753667,-2.5309328134232727,0.013132674768921033,MAL,1,T2_absmax
altitude,-0.0054958644656094005,9.1648212952188e-4,-5.996695722235785,4.235203622907582e-8,MAL,1,T2_absmax
snow_days,0.024383723764019,0.008255506148944155,2.953631591339506,0.004016925175085062,MAL,1,T2_absmax
tpi100,-0.025493139650064056,0.014971942762930882,-1.7027275654020442,0.09210927190023495,MAL,1,T2_absmax
canopy_cover2m_10m,0.004339373130298786,0.0027438705839332384,1.581478789746145,0.1173160791181552,MAL,1,T2_absmax
moist_med,0.02362331380132075,0.007883698887837064,2.996475910281999,0.0035383377340584303,MAL,1,T2_absmax
(Intercept),-3.627132822079614,1.7740949962041808,-2.044497521181311,0.04389268409861731,MAL,1,T3_absmax
altitude,-0.005403449324195016,9.248938967607063e-4,-5.842236977797926,8.519429222114366e-8,MAL,1,T3_absmax
snow_days,0.018567865141128632,0.007941106959851917,2.33819607707121,0.021644294921934388,MAL,1,T3_absmax
water_prop_500m,-0.01345265051088299,0.00912269533131482,-1.474635513114753,0.14387928221093793,MAL,1,T3_absmax
canopy_cover2m_10m,0.004220999512549206,0.0026774482572097425,1.5765008721206994,0.11849873112370679,MAL,1,T3_absmax
moist_med,0.023504552715226536,0.007770531422320211,3.0248320787573997,0.0032605036695338785,MAL,1,T3_absmax
(Intercept),2.443551435376275,0.8483601306662025,2.880323281408093,0.00703271588841393,MAL,1,T4_absmax
altitude,-0.006293249482261398,0.0012428906861620581,-5.063397410832986,1.6526670021126123e-5,MAL,1,T4_absmax
water_prop_500m,0.016259888485713483,0.009077563251468147,1.7912173162862526,0.08272171056444003,MAL,1,T4_absmax
canopy_cover2m_10m,-0.004305485833058898,0.0026543595004440076,-1.622043220723756,0.11460701425794297,MAL,1,T4_absmax
(Intercept),-7.277298309975591,1.9863143821194402,-3.663719286073213,4.2183360025984474e-4,MAL,1,T1_mean
altitude,-0.00647552273739088,0.0010181537600227743,-6.360063667835431,8.470812475643581e-9,MAL,1,T1_mean
snow_days,0.03870243448490102,0.00917134590591922,4.2199296463044025,5.871758887565467e-5,MAL,1,T1_mean
tpi100,-0.030086405933059716,0.016632882767584733,-1.808850958277305,0.07385085353598658,MAL,1,T1_mean
canopy_cover2m_10m,0.005258813991933739,0.0030482669132948057,1.7251816004030964,0.08796563877533198,MAL,1,T1_mean
moist_med,0.02267272010975641,0.008758291522526667,2.5887149396022373,0.011251483259083464,MAL,1,T1_mean
(Intercept),-11.36916871872452,2.4514787069056276,-4.63767793972611,1.2031546614317315e-5,MAL,1,T1_absmin
