id_code,area,year,month,T1_absmax,T2_absmax,T3_absmax,T4_absmax,T1_mean,T1_absmin,T1_meanmax,T1_meanmin,T2_mean,T2_absmin,T2_meanmax,T2_meanmin,T3_mean,T3_absmin,T3_meanmax,T3_meanmin,T4_mean,T4_absmin,T4_meanmax,T4_meanmin,pisr,moist_med,hydro_year,snow_days,altitude,canopy_cover2m_10m,tpi100,water_prop_500m,wetland_prop_100m
AIL101,AIL,2019,11,-2,-2.5,-2.72700000000002,-1.8,-3.25,-6.75,-2.9,-3.59,-7.47,-17.5,-5.73,-9.28,-11.59,-26.23,-8.07,-15.47,-11.1,-25.6,-7.75,-14.72,176,23.15,2020,228,509.27,61,0.25,0,16
AIL101,AIL,2019,12,-1.87,-2.38,-2.845,0.1,-2.41,-4.12,-2.26,-2.56,-3.75,-8.31,-3.28,-4.27,-5.88,-16.61,-4.68,-7.2,-8.7,-26.7,-5.16,-13.05,0,23.15,2020,228,509.27,61,0.25,0,16
AIL101,AIL,2020,1,-1.62,-2,-2.61,-1.2,-2.04,-2.68,-1.99,-2.09,-2.92,-4.25,-2.76,-3.08,-4.28,-6.86,-3.93,-4.62,-9.38,-28.9,-5.85,-13.38,0,23.44,2020,228,509.27,61,0.25,0,16
AIL101,AIL,2020,2,-1.75,-2.12,-2.73,NA,-2,-2.56,-1.97,-2.02,-2.54,-3.5,-2.48,-2.6,-3.35,-4.86,-3.26,-3.44,NA,NA,NA,NA,772,23.44,2020,228,509.27,61,0.25,0,16
AIL101,AIL,2020,3,-1.5,-1.62,-1.98,NA,-1.89,-2.25,-1.87,-1.92,-2.31,-3,-2.25,-2.35,-3,-4.05,-2.92,-3.08,NA,NA,NA,NA,3945,23.44,2020,228,509.27,61,0.25,0,16
AIL101,AIL,2020,4,-1,-0.88,-0.86,NA,-1.47,-1.87,-1.45,-1.5,-1.63,-2.38,-1.58,-1.69,-2.06,-3.11,-1.98,-2.15,NA,NA,NA,NA,10889,23.44,2020,228,509.27,61,0.25,0,16
AIL101,AIL,2020,5,-0.37,0,0.9675,12.88,-0.7,-1.12,-0.68,-0.72,-0.42,-1.25,-0.22,-0.57,-0.34,-1.73,0.09,-0.71,2.16,-12.2,8.02,-3.5,19144,23.42,2020,228,509.27,61,0.25,0,16
AIL101,AIL,2020,6,9.88,20.506,23.02,22.92,5.59,-0.31,7.22,4.7,9.95,-0.5,16.75,3.43,11.15,-1.61,18.73,2.91,11.51,0,17.96,4.1,23910,23.9,2020,228,509.27,61,0.25,0,16
AIL101,AIL,2020,7,11.94,17.75,20.77,21.5,8.47,3.75,9.48,7.67,10.37,0.5,15.08,6.07,11.16,-0.73,17.58,5.36,11.61,0.3,17.04,6.48,21697,20.15,2020,228,509.27,61,0.25,0,16
AIL101,AIL,2020,8,11.75,16.75,19.02,20.5,8.94,3.38,10.03,8.05,9.42,-3.62,15.48,4.17,9.92,-4.23,17.41,3.53,10.77,-3.07,16.89,5.2,14275,19.43,2020,228,509.27,61,0.25,0,16
