Variable,Importance,Sign,method,area,month,resp,StDev
altitude,5.5578674775608565,NEG,tstat,MAL,1,T1_absmax,NA
wetland_prop_100m,0.01868144508385734,NEG,tstat,MAL,1,T1_absmax,NA
snow_days,2.899607748153611,POS,tstat,MAL,1,T1_absmax,NA
tpi100,1.6843350628221578,NEG,tstat,MAL,1,T1_absmax,NA
water_prop_500m,0.5459489101617733,NEG,tstat,MAL,1,T1_absmax,NA
canopy_cover2m_10m,1.3790381828407414,POS,tstat,MAL,1,T1_absmax,NA
moist_med,2.2614731414488523,POS,tstat,MAL,1,T1_absmax,NA
altitude,0.5457652625408369,NA,perm_r2,MAL,1,T1_absmax,0.02940055889215124
wetland_prop_100m,-3.5463584174511006e-5,NA,perm_r2,MAL,1,T1_absmax,2.513126599130032e-4
snow_days,0.09917592715160589,NA,perm_r2,MAL,1,T1_absmax,0.02195475588276736
tpi100,0.024538772239405628,NA,perm_r2,MAL,1,T1_absmax,0.017305727317951887
water_prop_500m,0.005470001359367693,NA,perm_r2,MAL,1,T1_absmax,0.004246669645099142
canopy_cover2m_10m,0.042045946767175296,NA,perm_r2,MAL,1,T1_absmax,0.02296326428603476
moist_med,0.062058796659635776,NA,perm_r2,MAL,1,T1_absmax,0.024429056140984555
altitude,0.5733824385236507,NA,perm_rmse,MAL,1,T1_absmax,0.08294683277307369
wetland_prop_100m,-1.1473701877694476e-4,NA,perm_rmse,MAL,1,T1_absmax,2.0780094792440014e-4
snow_days,0.10540077598520732,NA,perm_rmse,MAL,1,T1_absmax,0.04402861932170078
tpi100,0.02032721034324254,NA,perm_rmse,MAL,1,T1_absmax,0.012813468021635173
water_prop_500m,0.0036867381874664206,NA,perm_rmse,MAL,1,T1_absmax,0.006238417610735533
canopy_cover2m_10m,0.03718756677221918,NA,perm_rmse,MAL,1,T1_absmax,0.014177827820938172
moist_med,0.0552392533532872,NA,perm_rmse,MAL,1,T1_absmax,0.024486332936377486
altitude,0.7774953647661244,NA,pdp,MAL,1,T1_absmax,NA
wetland_prop_100m,0.0035098315344745425,NA,pdp,MAL,1,T1_absmax,NA
snow_days,0.7493102861256099,NA,pdp,MAL,1,T1_absmax,NA
tpi100,0.2546270155057464,NA,pdp,MAL,1,T1_absmax,NA
water_prop_500m,0.06274055278924039,NA,pdp,MAL,1,T1_absmax,NA
canopy_cover2m_10m,0.12193245901563439,NA,pdp,MAL,1,T1_absmax,NA
moist_med,0.2380878602599812,NA,pdp,MAL,1,T1_absmax,NA
altitude,5.7062612439199825,NEG,tstat,MAL,1,T2_absmax,NA
wetland_prop_100m,0.09304353702210949,NEG,tstat,MAL,1,T2_absmax,NA
snow_days,2.6578182601775024,POS,tstat,MAL,1,T2_absmax,NA
tpi100,1.4524142881140658,NEG,tstat,MAL,1,T2_absmax,NA
water_prop_500m,1.0182299580066452,NEG,tstat,MAL,1,T2_absmax,NA
canopy_cover2m_10m,1.369872660193903,POS,tstat,MAL,1,T2_absmax,NA
moist_med,2.710237142590736,POS,tstat,MAL,1,T2_absmax,NA
altitude,0.5529123044146179,NA,perm_r2,MAL,1,T2_absmax,0.021355480584988724
