Variable,Importance,Sign,method,area,month,resp,StDev
altitude,6.067032571410396,NEG,tstat,MAL,1,T1_absmax,NA
snow_days,3.1836845612992706,POS,tstat,MAL,1,T1_absmax,NA
tpi100,1.8525999635840025,NEG,tstat,MAL,1,T1_absmax,NA
canopy_cover2m_10m,1.5298833905762426,POS,tstat,MAL,1,T1_absmax,NA
moist_med,2.4676987316402594,POS,tstat,MAL,1,T1_absmax,NA
altitude,0.5380774761615382,NA,perm_r2,MAL,1,T1_absmax,0.04154380328753309
snow_days,0.1001907027325114,NA,perm_r2,MAL,1,T1_absmax,0.0222126312670798
tpi100,0.0386390910677434,NA,perm_r2,MAL,1,T1_absmax,0.013358687125022481
canopy_cover2m_10m,0.05004466901499319,NA,perm_r2,MAL,1,T1_absmax,0.017317845775426333
moist_med,0.05923071574567757,NA,perm_r2,MAL,1,T1_absmax,0.02211221302558331
altitude,0.5366495655453335,NA,perm_rmse,MAL,1,T1_absmax,0.06482524314850018
snow_days,0.10858938897260415,NA,perm_rmse,MAL,1,T1_absmax,0.016313853037452666
tpi100,0.03476027151856148,NA,perm_rmse,MAL,1,T1_absmax,0.018865906564036448
canopy_cover2m_10m,0.030855471115964195,NA,perm_rmse,MAL,1,T1_absmax,0.017398753837521198
moist_med,0.060102098350587954,NA,perm_rmse,MAL,1,T1_absmax,0.022377546003204764
altitude,0.7502882866386743,NA,pdp,MAL,1,T1_absmax,NA
snow_days,0.7554582075664729,NA,pdp,MAL,1,T1_absmax,NA
tpi100,0.27132956500919303,NA,pdp,MAL,1,T1_absmax,NA
canopy_cover2m_10m,0.12652796674874467,NA,pdp,MAL,1,T1_absmax,NA
moist_med,0.24771586420547043,NA,pdp,MAL,1,T1_absmax,NA
altitude,5.996695722235785,NEG,tstat,MAL,1,T2_absmax,NA
snow_days,2.953631591339506,POS,tstat,MAL,1,T2_absmax,NA
tpi100,1.7027275654020442,NEG,tstat,MAL,1,T2_absmax,NA
canopy_cover2m_10m,1.581478789746145,POS,tstat,MAL,1,T2_absmax,NA
moist_med,2.996475910281999,POS,tstat,MAL,1,T2_absmax,NA
altitude,0.5447602847308151,NA,perm_r2,MAL,1,T2_absmax,0.01539218337252034
snow_days,0.08816176323000206,NA,perm_r2,MAL,1,T2_absmax,0.021848369523327745
tpi100,0.027442924028002393,NA,perm_r2,MAL,1,T2_absmax,0.01760656860061365
canopy_cover2m_10m,0.05718578695755711,NA,perm_r2,MAL,1,T2_absmax,0.02738909953262424
moist_med,0.09618310715843509,NA,perm_r2,MAL,1,T2_absmax,0.03305944647303516
altitude,0.5197543093887828,NA,perm_rmse,MAL,1,T2_absmax,0.04542859771603286
snow_days,0.08994025706661242,NA,perm_rmse,MAL,1,T2_absmax,0.039906651683896066
tpi100,0.023489948266035766,NA,perm_rmse,MAL,1,T2_absmax,0.01195906344609403
canopy_cover2m_10m,0.049218876492248806,NA,perm_rmse,MAL,1,T2_absmax,0.013964081988509328
moist_med,0.09583323563242961,NA,perm_rmse,MAL,1,T2_absmax,0.023045419353224062
altitude,0.7375067016376894,NA,pdp,MAL,1,T2_absmax,NA
snow_days,0.697009753279376,NA,pdp,MAL,1,T2_absmax,NA
tpi100,0.24800632247798876,NA,pdp,MAL,1,T2_absmax,NA
canopy_cover2m_10m,0.13007495653593085,NA,pdp,MAL,1,T2_absmax,NA
moist_med,0.29914007041104335,NA,pdp,MAL,1,T2_absmax,NA
altitude,5.842236977797926,NEG,tstat,MAL,1,T3_absmax,NA
snow_days,2.33819607707121,POS,tstat,MAL,1,T3_absmax,NA
water_prop_500m,1.474635513114753,NEG,tstat,MAL,1,T3_absmax,NA
canopy_cover2m_10m,1.5765008721206994,POS,tstat,MAL,1,T3_absmax,NA
moist_med,3.0248320787573997,POS,tstat,MAL,1,T3_absmax,NA
altitude,0.521835657389036,NA,perm_r2,MAL,1,T3_absmax,0.014878160837076078
snow_days,0.051305078145590946,NA,perm_r2,MAL,1,T3_absmax,0.02620508067874421
water_prop_500m,0.018231099673957606,NA,perm_r2,MAL,1,T3_absmax,0.016526815624491573
canopy_cover2m_10m,0.04870120563302518,NA,perm_r2,MAL,1,T3_absmax,0.026614919005013973
moist_med,0.09250501552375157,NA,perm_r2,MAL,1,T3_absmax,0.0246234125655071
altitude,0.5045087255349,NA,perm_rmse,MAL,1,T3_absmax,0.08200342751667061
snow_days,0.05196772765476256,NA,perm_rmse,MAL,1,T3_absmax,0.017727113664224536
water_prop_500m,0.02207644767921113,NA,perm_rmse,MAL,1,T3_absmax,0.013619562940766031
canopy_cover2m_10m,0.03361313613561473,NA,perm_rmse,MAL,1,T3_absmax,0.018073500209036277
moist_med,0.08636197183259095,NA,perm_rmse,MAL,1,T3_absmax,0.028174600742431482
altitude,0.7251052338517938,NA,pdp,MAL,1,T3_absmax,NA
snow_days,0.5307631937678112,NA,pdp,MAL,1,T3_absmax,NA
water_prop_500m,0.15859585238794854,NA,pdp,MAL,1,T3_absmax,NA
canopy_cover2m_10m,0.12652664604926908,NA,pdp,MAL,1,T3_absmax,NA
moist_med,0.2976362085923713,NA,pdp,MAL,1,T3_absmax,NA
altitude,5.063397410832986,NEG,tstat,MAL,1,T4_absmax,NA
water_prop_500m,1.7912173162862526,POS,tstat,MAL,1,T4_absmax,NA
canopy_cover2m_10m,1.622043220723756,NEG,tstat,MAL,1,T4_absmax,NA
altitude,0.6313507595177579,NA,perm_r2,MAL,1,T4_absmax,0.008189941801543405
water_prop_500m,0.07048310510164177,NA,perm_r2,MAL,1,T4_absmax,0.04513401221775
canopy_cover2m_10m,0.046869041699634656,NA,perm_r2,MAL,1,T4_absmax,0.05088646682696874
altitude,0.5010221083309531,NA,perm_rmse,MAL,1,T4_absmax,0.10145187832250303
water_prop_500m,0.028316294590702916,NA,perm_rmse,MAL,1,T4_absmax,0.028044333290146616
canopy_cover2m_10m,0.06421574911384215,NA,perm_rmse,MAL,1,T4_absmax,0.019915651610135733
altitude,0.6635464593780261,NA,pdp,MAL,1,T4_absmax,NA
water_prop_500m,0.19882767377389604,NA,pdp,MAL,1,T4_absmax,NA
canopy_cover2m_10m,0.13313354773418018,NA,pdp,MAL,1,T4_absmax,NA
altitude,6.360063667835431,NEG,tstat,MAL,1,T1_mean,NA
snow_days,4.2199296463044025,POS,tstat,MAL,1,T1_mean,NA
tpi100,1.808850958277305,NEG,tstat,MAL,1,T1_mean,NA
canopy_cover2m_10m,1.7251816004030964,POS,tstat,MAL,1,T1_mean,NA
moist_med,2.5887149396022373,POS,tstat,MAL,1,T1_mean,NA
altitude,0.528890901982346,NA,perm_r2,MAL,1,T1_mean,0.044504420311683814
snow_days,0.14389963138716164,NA,perm_r2,MAL,1,T1_mean,0.04339144099690248
tpi100,0.02695037812239327,NA,perm_r2,MAL,1,T1_mean,0.014730389535336254
canopy_cover2m_10m,0.05560877497640951,NA,perm_r2,MAL,1,T1_mean,0.030254948963458077
moist_med,0.07798967298512843,NA,perm_r2,MAL,1,T1_mean,0.03150239276046266
altitude,0.5894270207029012,NA,perm_rmse,MAL,1,T1_mean,0.06243707543073468
snow_days,0.1950473989645501,NA,perm_rmse,MAL,1,T1_mean,0.029941977764146248
tpi100,0.037062981691933915,NA,perm_rmse,MAL,1,T1_mean,0.013082542285450024
canopy_cover2m_10m,0.057288255296472926,NA,perm_rmse,MAL,1,T1_mean,0.019789056946404156
